Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
SARIMAXv2.4 (3, 0, 1)(0, 0, 1, 5) (RetLog) (Standard) + 256;d94e30f3;0,666;5,266;5,9271;0,931;0,9355;0,9298;0,739;1,7749;1,3088
SARIMAXv2.4 (2, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 34;0c61d151;0,8191;3,1351;4,3618;0,7931;0,8235;0,7881;1,0357;1,5256;1,3051
SARIMAXv2.4 (2, 1, 0)(0, 0, 0, 5) (Log) + 356;dd042de0;0,8491;3,526;3,9836;0,7966;0,8;0,7966;1,0424;1,5191;1,3046
SARIMAXv2.4 (1, 0, 1)(0, 0, 0, 5) (RetLog) + 356;dabec675;0,7992;3,6278;4,5953;0,8276;0,8387;0,8262;0,9623;1,5819;1,3031
SARIMAXv2.4 (1, 1, 1)(0, 0, 0, 5) (Log) (Standard) + 356;0e88beea;0,8475;3,5444;4,0054;0,7966;0,8;0,7966;1,0381;1,5191;1,3026
SARIMAXv2.4 (1, 1, 1)(0, 0, 0, 5) (Log) (MinMax) + 356;6785e798;0,8473;3,5475;4,0072;0,7966;0,8;0,7966;1,0376;1,5191;1,3024
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 1245;1ce16ed7;0,6616;5,6168;5,966;0,931;0,9355;0,9298;0,7225;1,7749;1,3013
SARIMAXv2.4 (0, 0, 1)(0, 0, 0, 5) (RetLog) (MinMax) + 1345;21582eeb;0,6906;5,254;5,7048;0,9138;0,9153;0,9143;0,7596;1,7414;1,2996
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (RetLog) + 26;08d9172c;0,6402;5,2827;6,152;0,931;0,9355;0,9298;0,7183;1,7749;1,2995
SARIMAXv2.4 (3, 0, 2)(0, 0, 0, 5) (RetLog) (Standard) + 246;6b997e2f;0,6116;5,8566;6,3914;0,9483;0,9524;0,9464;0,677;1,8072;1,2986
SARIMAXv2.4 (2, 1, 0)(0, 0, 0, 5) (Log) (Standard) + 35;c7bf75f2;0,8432;3,5711;4,0609;0,7966;0,8;0,7966;1,0288;1,5191;1,2985
SARIMAXv2.4 (2, 1, 0)(0, 0, 0, 5) (Log) (MinMax) + 35;e847856f;0,8429;3,5754;4,0648;0,7966;0,8;0,7966;1,0279;1,5191;1,2981
SARIMAXv2.4 (2, 1, 0)(0, 0, 0, 5) (Log) + 35;cc018442;0,8429;3,5754;4,0648;0,7966;0,8;0,7966;1,0279;1,5191;1,2981
SARIMAXv2.4 (3, 0, 2)(0, 0, 0, 5) (RetLog) (Standard) + 23;3020eabc;0,5639;6,1498;6,7726;0,9655;0,9677;0,9643;0,635;1,8393;1,2974
SARIMAXv2.4 (1, 0, 1)(0, 0, 0, 5) (RetLog) (Standard) + 356;3a5b336f;0,79;3,7481;4,6996;0,8276;0,8387;0,8262;0,9414;1,5819;1,2937
