Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
SARIMAXv2.4 (2, 1, 0)(0, 0, 0, 5) (Log) + 356;dd042de0;0,6697;4,1212;5,8947;0,5254;0,5484;0,5247;0,7998;1,0141;0,9176
SARIMAXv2.4 (1, 1, 1)(0, 0, 0, 5) (Log) (Standard) + 356;0e88beea;0,6693;4,1248;5,8983;0,5254;0,5484;0,5247;0,7992;1,0141;0,9174
SARIMAXv2.4 (1, 1, 1)(0, 0, 0, 5) (Log) (MinMax) + 356;6785e798;0,6684;4,1303;5,906;0,5254;0,5484;0,5247;0,7982;1,0141;0,9169
SARIMAXv2.4 (3, 1, 0)(1, 0, 1, 5) (Log) + 25;f8d3c2a7;0,7772;3,5848;4,8409;0,4576;0,5;0,4563;0,9401;0,8963;0,916
SARIMAXv2.4 (3, 1, 0)(1, 0, 1, 5) (Log) (MinMax) + 25;54e2177c;0,7772;3,5848;4,8409;0,4576;0,5;0,4563;0,94;0,8963;0,916
SARIMAXv2.4 (2, 1, 0)(0, 0, 0, 5) (Log) (Standard) + 35;c7bf75f2;0,6645;4,1326;5,9405;0,5254;0,5484;0,5247;0,7949;1,0141;0,9155
SARIMAXv2.4 (0, 1, 0)(1, 0, 0, 5) (Log) + 2456;ef9f338a;0,7765;3,5881;4,849;0,4576;0,5;0,4563;0,9389;0,8963;0,9155
SARIMAXv2.4 (0, 1, 0)(0, 0, 0, 5) (Log) (MinMax) + 2456;3a208ab1;0,7765;3,5898;4,8488;0,4576;0,5;0,4563;0,9388;0,8963;0,9155
SARIMAXv2.4 (0, 1, 0)(0, 0, 0, 5) (Log) (Standard) + 2456;0b62ef86;0,7765;3,59;4,849;0,4576;0,5;0,4563;0,9388;0,8963;0,9154
SARIMAXv2.4 (2, 1, 0)(0, 0, 0, 5) (Log) + 35;cc018442;0,6632;4,1402;5,9518;0,5254;0,5484;0,5247;0,7934;1,0141;0,9148
SARIMAXv2.4 (2, 1, 0)(0, 0, 0, 5) (Log) (MinMax) + 35;e847856f;0,6632;4,1402;5,9518;0,5254;0,5484;0,5247;0,7934;1,0141;0,9148
SARIMAXv2.4 (2, 0, 3)(2, 0, 1, 5) (YeoJohnson) (Standard) + 2;5aa308cc;0,7486;3,7083;5,1421;0,4746;0,5079;0,4736;0,8997;0,9233;0,9127
SARIMAXv2.4 (1, 1, 0)(0, 0, 0, 5) (YeoJohnson) (MinMax) + 56;fe379a91;0,6779;4,2414;5,8212;0,5085;0,5672;0,5063;0,7989;1,0025;0,9109
SARIMAXv2.4 (1, 1, 0)(0, 0, 0, 5) (YeoJohnson) + 56;b7bbf84e;0,6779;4,2414;5,8212;0,5085;0,5672;0,5063;0,7989;1,0025;0,9109
SARIMAXv2.4 (1, 1, 1)(1, 0, 0, 5) (Log) (MinMax) + 234;ef5d5f9a;0,7683;3,6155;4,9364;0,4576;0,5;0,4563;0,9277;0,8963;0,9105
SARIMAXv2.4 (1, 1, 1)(1, 0, 0, 5) (Log) + 234;08e4d576;0,7683;3,6155;4,9364;0,4576;0,5;0,4563;0,9277;0,8963;0,9105
SARIMAXv2.4 (1, 1, 0)(0, 0, 0, 5) (YeoJohnson) (Standard) + 56;b7aa8b2c;0,6769;4,2468;5,8296;0,5085;0,5672;0,5063;0,7978;1,0025;0,9104
SARIMAXv2.4 (3, 0, 0)(0, 0, 1, 5) + 2356;ad5acd69;0,735;3,7554;5,2801;0,4746;0,5231;0,473;0,8826;0,9321;0,9099
SARIMAXv2.4 (3, 0, 0)(0, 0, 1, 5) + 236;e5b5aed4;0,735;3,7562;5,2795;0,4746;0,5231;0,473;0,8826;0,9321;0,9098
SARIMAXv2.4 (1, 0, 0)(0, 0, 0, 5) (RetLog) (Standard) + 56;4486dcbf;0,7411;3,9445;5,2179;0,4828;0,5161;0,481;0,8746;0,9384;0,9097
