Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
Transformerv3.4 (30,64,4,2,0.20,128,0.00448) (YeoJohnson) (Standard) + 136 (Backtesting [5d]);a739e738;-0,399;10,7769;12,131;0,5593;0,5517;0,5598;0,0633;1,0609;0,612
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (YeoJohnson) (Standard) + 1345 (Backtesting [5d]);a9e1cbfa;-0,3512;8,9706;11,922;0,5254;0,5625;0,5241;0,1057;1,0222;0,6098
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 1234 (Backtesting [5d]);31c5f2b7;-0,7159;10,9136;13,4347;0,6102;0,623;0,6098;-0,0804;1,1695;0,6071
Transformerv3.4 (20,96,8,1,0.10,96,0.00069) (YeoJohnson) (Standard) + 125 (Backtesting [5d]);ace48743;0,1417;7,4949;9,5017;0,4068;0,4262;0,4063;0,3649;0,7862;0,5966
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (Log) (Standard) + 234 (Backtesting [5d]);7e42ff68;-0,8267;12,2138;13,8619;0,6271;0,6333;0,627;-0,1401;1,198;0,5958
Transformerv3.4 (15,96,4,2,0.25,96,0.00053) (YeoJohnson) (Standard) + 46 (Backtesting [5d]);e64ef5ce;-0,3718;10,0553;12,0124;0,5254;0,5484;0,5247;0,0831;1,0141;0,5951
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (Log) (Standard) + 23456 (Backtesting [5d]);9b61c986;-0,6306;11,2115;13,0968;0,5932;0,5714;0,5943;-0,0451;1,1172;0,5942
Transformerv3.4 (20,96,8,1,0.10,96,0.00069) (Log) (Standard) + 256 (Backtesting [5d]);c940ef61;0,0354;8,1694;10,0731;0,4407;0,4211;0,4414;0,3;0,8278;0,5903
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (Log) (Standard) + 12 (Backtesting [5d]);43cdc269;-0,7852;10,9304;13,7035;0,6102;0,6102;0,6103;-0,1112;1,1621;0,5891
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (Log) (Standard) + 1345 (Backtesting [5d]);ce13f153;-0,6424;11,1862;13,1438;0,5763;0,5763;0,5764;-0,0501;1,0976;0,5811
Transformerv3.4 (20,96,8,1,0.10,96,0.00069) (YeoJohnson) (Standard) + 3456 (Backtesting [5d]);174a4f44;-0,4394;10,235;12,3049;0,5254;0,5484;0,5247;0,0503;1,0141;0,5804
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 1356 (Backtesting [5d]);2c822dd5;-0,3829;9,5712;12,0608;0,5254;0,5;0,5264;0,0835;0,9859;0,5798
